song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity
Big Gun,7zjzu90Q4mtNNaE9Ol9Zbv,2009-11-10,60,259413,False,AC/DC's Greatest Tribute Band,6o9jgLzbCFYJZI6IyENhGH,1186,['tribute'],6
Ukulele and Chill,0sRg0YVlQNN3klM0NtysR4,2017-04-29,45,170666,False,AGM,2X0CuLwmbLWRUdBDaQVBgg,2050,,27
American Horror Story Theme (Long Version),4wTdIPoTgldrXGQN5Nzg7q,2013-03-01,8,185019,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
Everybody Hurts,6PypGyiu0Y2lCDBN1XZEnP,1992-10-05,75,320266,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
Gimme What You Got (Pull The Trigger),2DHFdW4pcbK2BGZ18bbTWt,2007-02-27,9,197052,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
Used to Be,7FjKU2mfpEpvKIbx8naZRk,2018-05-25,60,174793,False,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,780022,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'uk pop']",62
Weak,5DZwnLxHjWTZaz9jOpRhxb,2017-06-09,68,201159,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Growing Old on Bleecker Street,3n622hniaMFIJ6Dbf6B1WS,2013,51,203093,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Burn The House Down,0TkJIyL69RAUIbNwGub6uR,2018-09-21,70,212373,True,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Let the Games Begin,2pwnEzgIzYL4AOw4ousjkB,2015-10-23,60,201004,True,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Come Hang Out,0ouGDyldWWfeqfTYxX1bTZ,2017-06-09,57,266239,True,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Drama,6iUlQohL4sfM80J4DHidy7,2017-06-09,52,204424,True,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
"It's On Us (Benefiting the ""It's On Us"" Campaign)",2AVZJ4u8JOhcYBX5yHGdrX,2017-03-31,55,207671,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Call If You Need Me,0tp63L82d21GTlvZuKSHGY,2018-02-23,52,163720,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
100 Bad Days,17FK4etx1u2NK60cptINMS,2019-04-26,66,212783,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Infinity,3i78lP1Y35m6Idgnbw9Fow,2013,52,239693,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
OK Overture,4NgsFDgvexIMJdvLsKKXeB,2021-03-26,55,271884,True,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Thirsty,0iQJLCJyv6TTPUP4u4y8DJ,2013,44,182146,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
My Calling,2z00vFwIe6zaCoA0LWmiTX,2013,51,236400,False,AJR,6s22t5Y3prQHyaHWUN1R1C,2346704,['modern rock'],75
Already There,3lDLtwKsCePiMmQxTuDJsk,2017-09-01,26,166788,False,ARY,4FLA7MpTdP5nNUQfiaA3WM,20235,"['norwegian indie', 'norwegian pop']",35
Say My Name,2UP7KnRSvc4taXbjOoSX0f,2019-01-15,62,222023,False,ATEEZ,68KmkJeZGfwe1OUaivBa2L,2410497,"['k-pop', 'k-pop boy group']",68
"HALA HALA (Hearts Awakened, Live Alive)",4v2BLMhWtVvBnZwuoiKxja,2019-01-15,60,202097,False,ATEEZ,68KmkJeZGfwe1OUaivBa2L,2410497,"['k-pop', 'k-pop boy group']",68
Half the World Away,4TWshc0BwiunzoppGOqiYR,2014,49,198133,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
Running with the Wolves,20qtjUDcb8HH8ouF51BirQ,2014,58,194760,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
Runaway,0TCmhnbMpw5zwPsTvlXTJi,2014,74,248826,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
